hsn_code,description
1,SECTION I LIVE ANIMALS; ANIMAL PRODUCTS
01,LIVE ANIMALS
0101,"LIVE HORSES, ASSES, MULES AND HINNIES"
01012,HORSES
010121,PURE-BRED BREEDING ANIMALS
01012100,PURE-BRED BREEDING ANIMALS
010129,"OTHER – LIVE HORSES, ASSES, MULES AND HINNIES"
01012900,"OTHER – LIVE HORSES, ASSES, MULES AND HINNIES"
010130,ASSES
01013000,ASSES
010190,"OTHER – LIVE HORSES, ASSES, MULES AND HINNIES"
01019000,"OTHER – LIVE HORSES, ASSES, MULES AND HINNIES"
0102,LIVE BOVINE ANIMALS
01022,CATTLE
010221,PURE-BRED BREEDING ANIMALS
01022110,BULLS
01022190,OTHER – PURE-BRED BREEDING ANIMALS
010229,OTHER – LIVE BOVINE ANIMALS
01022900,OTHER – LIVE BOVINE ANIMALS
01023,BUFFALO:
010231,PURE-BRED BREEDING ANIMALS
01023100,PURE-BRED BREEDING ANIMALS
010239,OTHER – LIVE BOVINE ANIMALS
01023900,OTHER – LIVE BOVINE ANIMALS
010290,OTHER – LIVE BOVINE ANIMALS
01029000,OTHER – LIVE BOVINE ANIMALS
0103,LIVE SWINE
010310,PURE-BRED BREEDING ANIMALS
01031000,PURE-BRED BREEDING ANIMALS
01039,OTHER
010391,OF A MASS OF LESS THAN 50 KG – LIVE SWINE
01039100,WEIGHING LESS THAN 50 KG
010392,OF A MASS OF 50 KG OR MORE – LIVE SWINE
01039200,WEIGHING 50 KG OR MORE
0104,LIVE SHEEP AND GOATS
010410,SHEEP
01041010,PURE-BRED BREEDING SHEEP
01041090,OTHER – SHEEP
010420,GOATS
01042010,PURE-BRED BREEDING GOATS
01042090,OTHER – GOATS
0105,"LIVE POULTRY, THAT IS TO SAY, FOWLS OF THE SPECIES GALLUS DOMESTICUS, DUCKS, GEESE, TURKEYS AND GUINEA FOWLS"
01051,OF A MASS NOT EXCEEDING 185 G
010511,FOWLS OF THE SPECIES GALLUS DOMESTICUS
01051100,FOWLS OF THE SPECIES GALLUS DOMESTICUS
010512,TURKEYS
01051200,TURKEYS
010513,DUCKS
01051300,DUCKS
010514,GEESE
01051400,GEESE
010515,GUINEA FOWLS
01051500,GUINEA FOWLS
01059,OTHER
010594,FOWLS OF THE SPECIES GALLUS DOMESTICUS
01059400,FOWLS OF THE SPECIES GALLUS DOMESTICUS
010599,"OTHER – LIVE POULTRY, THAT IS TO SAY, FOWLS OF THE SPECIES GALLUS DOMESTICUS, DUCKS, GEESE, TURKEYS AND GUINEA FOWLS"
01059900,"OTHER – LIVE POULTRY, THAT IS TO SAY, FOWLS OF THE SPECIES GALLUS DOMESTICUS, DUCKS, GEESE, TURKEYS AND GUINEA FOWLS"
0106,OTHER LIVE ANIMALS
01061,MAMMALS
010611,PRIMATES
01061100,PRIMATES
