currency,frequency,year,month_from,month_to,income_from,income_to,rate_percent,deduct_amount,aids_levy_percent
USD,Annual,2025,1,12,0.0,1200.0,0.0,0.0,3.0
USD,Annual,2025,1,12,1201.0,3600.0,20.0,240.0,3.0
USD,Annual,2025,1,12,3601.0,12000.0,25.0,420.0,3.0
USD,Annual,2025,1,12,12001.0,24000.0,30.0,1020.0,3.0
USD,Annual,2025,1,12,24001.0,36000.0,35.0,2220.0,3.0
USD,Daily,2025,1,12,0.0,1200.0,0.0,0.0,3.0
USD,Daily,2025,1,12,3.3,9.86,20.0,0.66,3.0
USD,Daily,2025,1,12,9.87,32.88,25.0,1.15,3.0
USD,Daily,2025,1,12,23.09,69.23,20.0,4.62,3.0
USD,Daily,2025,1,12,32.89,65.75,30.0,2.79,3.0
USD,Daily,2025,1,12,46.16,138.46,20.0,9.23,3.0
USD,Daily,2025,1,12,65.76,98.63,35.0,6.08,3.0
USD,Daily,2025,1,12,69.24,230.77,25.0,8.08,3.0
USD,Daily,2025,1,12,100.01,300.0,20.0,20.0,3.0
USD,Daily,2025,1,12,138.47,461.54,25.0,16.15,3.0
USD,Daily,2025,1,12,230.78,461.54,30.0,19.62,3.0
USD,Daily,2025,1,12,300.01,1000.0,25.0,35.0,3.0
USD,Daily,2025,1,12,461.55,692.31,35.0,42.69,3.0
USD,Daily,2025,1,12,461.55,923.08,30.0,39.23,3.0
USD,Daily,2025,1,12,923.09,1384.62,35.0,85.38,3.0
USD,Daily,2025,1,12,1000.01,2000.0,30.0,85.0,3.0
USD,Daily,2025,1,12,1201.0,3600.0,20.0,240.0,3.0
USD,Daily,2025,1,12,2000.01,3000.0,35.0,185.0,3.0
USD,Daily,2025,1,12,3601.0,12000.0,25.0,420.0,3.0
USD,Daily,2025,1,12,12001.0,24000.0,30.0,1020.0,3.0
USD,Daily,2025,1,12,24001.0,36000.0,35.0,2220.0,3.0
USD,Fortnightly,2025,1,12,0.0,1200.0,0.0,0.0,3.0
USD,Fortnightly,2025,1,12,46.16,138.46,20.0,9.23,3.0
USD,Fortnightly,2025,1,12,100.01,300.0,20.0,20.0,3.0
USD,Fortnightly,2025,1,12,138.47,461.54,25.0,16.15,3.0
USD,Fortnightly,2025,1,12,300.01,1000.0,25.0,35.0,3.0
USD,Fortnightly,2025,1,12,461.55,923.08,30.0,39.23,3.0
USD,Fortnightly,2025,1,12,923.09,1384.62,35.0,85.38,3.0
USD,Fortnightly,2025,1,12,1000.01,2000.0,30.0,85.0,3.0
USD,Fortnightly,2025,1,12,1201.0,3600.0,20.0,240.0,3.0
USD,Fortnightly,2025,1,12,2000.01,3000.0,35.0,185.0,3.0
USD,Fortnightly,2025,1,12,3601.0,12000.0,25.0,420.0,3.0
USD,Fortnightly,2025,1,12,12001.0,24000.0,30.0,1020.0,3.0
USD,Fortnightly,2025,1,12,24001.0,36000.0,35.0,2220.0,3.0
USD,Monthly,2025,1,12,0.0,1200.0,0.0,0.0,3.0
USD,Monthly,2025,1,12,100.01,300.0,20.0,20.0,3.0
USD,Monthly,2025,1,12,300.01,1000.0,25.0,35.0,3.0
USD,Monthly,2025,1,12,1000.01,2000.0,30.0,85.0,3.0
USD,Monthly,2025,1,12,1201.0,3600.0,20.0,240.0,3.0
USD,Monthly,2025,1,12,2000.01,3000.0,35.0,185.0,3.0
USD,Monthly,2025,1,12,3601.0,12000.0,25.0,420.0,3.0
USD,Monthly,2025,1,12,12001.0,24000.0,30.0,1020.0,3.0
USD,Monthly,2025,1,12,24001.0,36000.0,35.0,2220.0,3.0
USD,Weekly,2025,1,12,0.0,1200.0,0.0,0.0,3.0
USD,Weekly,2025,1,12,23.09,69.23,20.0,4.62,3.0
USD,Weekly,2025,1,12,46.16,138.46,20.0,9.23,3.0
USD,Weekly,2025,1,12,69.24,230.77,25.0,8.08,3.0
USD,Weekly,2025,1,12,100.01,300.0,20.0,20.0,3.0
USD,Weekly,2025,1,12,138.47,461.54,25.0,16.15,3.0
USD,Weekly,2025,1,12,230.78,461.54,30.0,19.62,3.0
USD,Weekly,2025,1,12,300.01,1000.0,25.0,35.0,3.0
USD,Weekly,2025,1,12,461.55,692.31,35.0,42.69,3.0
USD,Weekly,2025,1,12,461.55,923.08,30.0,39.23,3.0
USD,Weekly,2025,1,12,923.09,1384.62,35.0,85.38,3.0
USD,Weekly,2025,1,12,1000.01,2000.0,30.0,85.0,3.0
USD,Weekly,2025,1,12,1201.0,3600.0,20.0,240.0,3.0
USD,Weekly,2025,1,12,2000.01,3000.0,35.0,185.0,3.0
USD,Weekly,2025,1,12,3601.0,12000.0,25.0,420.0,3.0
USD,Weekly,2025,1,12,12001.0,24000.0,30.0,1020.0,3.0
USD,Weekly,2025,1,12,24001.0,36000.0,35.0,2220.0,3.0
ZWG,Annual,2025,1,12,0.0,33600.0,0.0,0.0,3.0
ZWG,Annual,2025,1,12,33601.0,100800.0,20.0,6720.0,3.0
ZWG,Annual,2025,1,12,100801.0,336000.0,25.0,11760.0,3.0
